doc_id,sentence
0,in visions of the dark night
0,i have dreamed of joy departed-
0,but a waking dream of life and light
0,"hath left me broken-hearted,"
0,ah! what is not a dream by day
0,to him whose eyes are cast
0,on things around him with a ray
0,turned back upon the past?
0,"that holy dream- that holy dream,"
0,"while all the world were chiding,"
0,hath cheered me as a lovely beam
0,"a lonely spirit guiding,"
0,"what though that light, thro' storm and night,"
0,so trembled from afar-
0,what could there be more purely bright
0,in truth's day-star?
1,take this kiss upon the brow!
1,"and, in parting from you now,"
1,thus much let me avow-
1,"you are not wrong, who deem"
1,that my days have been a dream;
1,yet if hope has flown away
1,"in a night, or in a day,"
1,"in a vision, or in none,"
1,is it therefore the less gone?
1,all that we see or seem
1,"is but a dream within a dream,"
1,i stand amid the roar
1,"of a surf-tormented shore,"
1,and i hold within my hand
1,grains of the golden sand-
1,how few! yet how they creep
1,"through my fingers to the deep,"
1,while i weep- while i weep!
1,o god! can i not grasp
1,them with a tighter clasp?
1,o god! can i not save
1,one from the pitiless wave?
1,is all that we see or seem
1,but a dream within a dream?
2,how shall the burial rite be read?
2,the solemn song be sung ?
2,"the requiem for the loveliest dead,"
2,that ever died so young?
2,"ii,"
2,"her friends are gazing on her,"
2,"and on her gaudy bier,"
2,and weep ! - oh! to dishonor
2,dead beauty with a tear!
2,"iii,"
2,they loved her for her wealth -
2,and they hated her for her pride -
2,"but she grew in feeble health,"
2,"and they love her - that she died,"
2,"iv,"
2,they tell me while they speak
2,of her costly broider'd pall
2,that my voice is growing weak -
2,that i should not sing at all -
2,"v,"
2,or that my tone should be
2,tun'd to such solemn song
2,"so mournfully - so mournfully,"
2,"that the dead may feel no wrong,"
2,"vi,"
2,"but she is gone above,"
2,"with young hope at her side,"
2,and i am drunk with love
2,"of the dead, who is my bride, -"
2,"vii,"
2,of the dead - dead who lies
2,"all perfum'd there,"
2,"with the death upon her eyes,"
2,"and the life upon her hair,"
2,"viii,"
2,thus on the coffin loud and long
2,i strike - the murmur sent
2,"through the grey chambers to my song,"
2,"shall be the accompaniment,"
2,"ix,"
2,thou died'st in thy life's june -
2,"but thou did'st not die too fair,"
2,"thou did'st not die too soon,"
2,"nor with too calm an air,"
2,"x,"
2,"from more than fiends on earth,"
2,"thy life and love are riven,"
2,to join the untainted mirth
2,of more than thrones in heaven -
2,"xii,"
2,"therefore, to thee this night"
2,"i will no requiem raise,"
2,"but waft thee on thy flight,"
2,"with a pæan of old days,"
3,"for her this rhyme is penned, whose luminous eyes,"
3,"brightly expressive as the twins of leda,"
3,"shall find her own sweet name, that nestling lies"
3,"upon the page, enwrapped from every reader,"
3,search narrowly the lines!- they hold a treasure
3,divine- a talisman- an amulet
3,"that must be worn at heart, search well the measure-"
3,the words- the syllables! do not forget
3,"the trivialest point, or you may lose your labor"
3,and yet there is in this no gordian knot
3,"which one might not undo without a sabre,"
3,"if one could merely comprehend the plot,"
3,enwritten upon the leaf where now are peering
3,"eyes scintillating soul, there lie perdus"
3,three eloquent words oft uttered in the hearing
3,"of poets, by poets- as the name is a poet's, too,"
3,"its letters, although naturally lying"
3,like the knight pinto- mendez ferdinando-
3,still form a synonym for truth- cease trying!
3,"you will not read the riddle, though you do the best you can do,"
4,part i
4,o! nothing earthly save the ray
4,"thrown back from flowers of beauty's eye,"
4,as in those gardens where the day
4,springs from the gems of circassy-
4,o! nothing earthly save the thrill
4,of melody in woodland rill-
4,or music of the passion-hearted
4,joy's voice so peacefully departed
4,"that like the murmur in the shell,"
4,its echo dwelleth and will dwell-
4,"oh, nothing of the dross of ours-"
4,yet all the beauty- all the flowers
4,"that list our love, and deck our bowers-"
4,"adorn yon world afar, afar-"
4,"the wandering star,"
4,'twas a sweet time for nesace- for there
4,"her world lay lolling on the golden air,"
4,near four bright suns- a temporary rest-
4,"an oasis in desert of the blest,"
4,away- away- 'mid seas of rays that roll
4,empyrean splendor o'er th' unchained soul-
4,the soul that scarce the billows are so dense
4,"can struggle to its destin'd eminence,-"
4,"to distant spheres, from time to time, she rode"
4,"and late to ours, the favor'd one of god-"
4,"but, now, the ruler of an anchor'd realm,"
4,"she throws aside the sceptre- leaves the helm,"
4,"and, amid incense and high spiritual hymns,"
4,"laves in quadruple light her angel limbs,"
4,"now happiest, loveliest in yon lovely earth,"
4,"whence sprang the idea of beauty into birth,"
4,"falling in wreaths thro' many a startled star,"
4,"like woman's hair 'mid pearls, until, afar,"
4,"it lit on hills achaian, and there dwelt"
4,"she looked into infinity- and knelt,"
4,"rich clouds, for canopies, about her curled-"
4,fit emblems of the model of her world-
4,seen but in beauty- not impeding sight
4,of other beauty glittering thro' the light-
4,"a wreath that twined each starry form around,"
4,"and all the opal'd air in color bound,"
4,all hurriedly she knelt upon a bed
4,"of flowers, of lilies such as rear'd the head"
4,"on the fair capo deucato, and sprang"
4,so eagerly around about to hang
4,upon the flying footsteps of- deep pride-
4,"of her who lov'd a mortal- and so died,"
4,"the sephalica, budding with young bees,"
4,"upreared its purple stem around her knees,-"
4,"and gemmy flower, of trebizond misnam'd-"
4,"inmate of highest stars, where erst it sham'd"
4,"all other loveliness,- its honied dew"
4,the fabled nectar that the heathen knew
4,"deliriously sweet, was dropp'd from heaven,"
4,and fell on gardens of the unforgiven
4,in trebizond- and on a sunny flower
4,"so like its own above that, to this hour,"
4,"it still remaineth, torturing the bee"
4,"with madness, and unwonted reverie,"
4,"in heaven, and all its environs, the leaf"
4,and blossom of the fairy plant in grief
4,"disconsolate linger- grief that hangs her head,"
4,"repenting follies that full long have red,"
4,"heaving her white breast to the balmy air,"
4,"like guilty beauty, chasten'd and more fair,"
4,"nyctanthes too, as sacred as the light"
4,"she fears to perfume, perfuming the night,"
4,"and clytia, pondering between many a sun,"
4,"while pettish tears adown her petals run,"
4,"and that aspiring flower that sprang on earth,"
4,"and died, ere scarce exalted into birth,"
4,bursting its odorous heart in spirit to wing
4,"its way to heaven, from garden of a king,"
4,"and valisnerian lotus, thither flown"
4,"from struggling with the waters of the rhone,"
4,"and thy most lovely purple perfume, zante!"
4,isola d'oro!- fior di levante!
4,and the nelumbo bud that floats for ever
4,with indian cupid down the holy river-
4,"fair flowers, and fairy! to whose care is given"
4,"to bear the goddess' song, in odors, up to heaven,"
4,"spirit! that dwellest where,"
4,"in the deep sky,"
4,"the terrible and fair,"
4,in beauty vie!
4,beyond the line of blue-
4,the boundary of the star
4,which turneth at the view
4,of thy barrier and thy bar-
4,of the barrier overgone
4,by the comets who were cast
4,from their pride and from their throne
4,to be drudges till the last-
4,to be carriers of fire
4,the red fire of their heart
4,with speed that may not tire
4,and with pain that shall not part-
4,who livest- that we know-
4,in eternity- we feel-
4,but the shadow of whose brow
4,what spirit shall reveal?
4,"tho' the beings whom thy nesace,"
4,thy messenger hath known
4,have dream'd for thy infinity
4,a model of their own-
4,"thy will is done, o god!"
4,the star hath ridden high
4,"thro' many a tempest, but she rode"
4,beneath thy burning eye;
4,"and here, in thought, to thee-"
4,in thought that can alone
4,ascend thy empire and so be
4,a partner of thy throne-
4,"by winged fantasy,"
4,"my embassy is given,"
4,till secrecy shall knowledge be
4,"in the environs of heaven,"
4,she ceas'd- and buried then her burning cheek
4,"abash'd, amid the lilies there, to seek"
4,a shelter from the fervor of his eye;
4,"for the stars trembled at the deity,"
4,she stirr'd not- breath'd not- for a voice was there
4,how solemnly pervading the calm air!
4,a sound of silence on the startled ear
4,"which dreamy poets name the music of the sphere,"
4,"ours is a world of words, quiet we call"
4,"silence- which is the merest word of all,"
4,"all nature speaks, and ev'n ideal things"
4,flap shadowy sounds from visionary wings-
4,"but ah! not so when, thus, in realms on high"
4,"the eternal voice of god is passing by,"
4,"and the red winds are withering in the sky,-"
4,"what tho 'in worlds which sightless cycles run,"
4,"linked to a little system, and one sun-"
4,where all my love is folly and the crowd
4,"still think my terrors but the thunder cloud,"
4,"the storm, the earthquake, and the ocean-wrath-"
4,ah! will they cross me in my angrier path?
4,what tho' in worlds which own a single sun
4,"the sands of time grow dimmer as they run,"
4,"yet thine is my resplendency, so given"
4,to bear my secrets thro' the upper heaven!
4,"leave tenantless thy crystal home, and fly,"
4,"with all thy train, athwart the moony sky-"
4,"apart- like fire-flies in sicilian night,"
4,and wing to other worlds another light!
4,divulge the secrets of thy embassy
4,to the proud orbs that twinkle- and so be
4,to ev'ry heart a barrier and a ban
4,lest the stars totter in the guilt of man!
4,"up rose the maiden in the yellow night,"
4,the single-mooned eve!- on earth we plight
